Input file,Prediction
./images/test\Barcelona_crop_0.png,Barcelona.jpg
./images/test\Barcelona_crop_1.png,Barcelona.jpg
./images/test\Barcelona_crop_10.png,Barcelona.jpg
./images/test\Barcelona_crop_11.png,Barcelona.jpg
./images/test\Barcelona_crop_12.png,Barcelona.jpg
./images/test\Barcelona_crop_13.png,Barcelona.jpg
./images/test\Barcelona_crop_15.png,Barcelona.jpg
./images/test\Barcelona_crop_16.png,Barcelona.jpg
./images/test\Barcelona_crop_17.png,Barcelona.jpg
./images/test\Barcelona_crop_19.png,Barcelona.jpg
./images/test\Barcelona_crop_2.png,Barcelona.jpg
./images/test\Barcelona_crop_20.png,Barcelona.jpg
./images/test\Barcelona_crop_21.png,Barcelona.jpg
./images/test\Barcelona_crop_22.png,Barcelona.jpg
./images/test\Barcelona_crop_23.png,Barcelona.jpg
./images/test\Barcelona_crop_26.png,Barcelona.jpg
./images/test\Barcelona_crop_27.png,Barcelona.jpg
./images/test\Barcelona_crop_3.png,Barcelona.jpg
./images/test\Barcelona_crop_30.png,Barcelona.jpg
./images/test\Barcelona_crop_31.png,Barcelona.jpg
./images/test\Barcelona_crop_33.png,Barcelona.jpg
./images/test\Barcelona_crop_35.png,Barcelona.jpg
./images/test\Barcelona_crop_38.png,Barcelona.jpg
./images/test\Barcelona_crop_4.png,Barcelona.jpg
./images/test\Barcelona_crop_40.png,Barcelona.jpg
./images/test\Barcelona_crop_42.png,Barcelona.jpg
./images/test\Barcelona_crop_43.png,Barcelona.jpg
./images/test\Barcelona_crop_44.png,Barcelona.jpg
./images/test\Barcelona_crop_45.png,Barcelona.jpg
./images/test\Barcelona_crop_46.png,Barcelona.jpg
./images/test\Barcelona_crop_47.png,Barcelona.jpg
./images/test\Barcelona_crop_48.png,Barcelona.jpg
./images/test\Barcelona_crop_5.png,Stockholm.jpg
./images/test\Barcelona_crop_50.png,Barcelona.jpg
./images/test\Barcelona_crop_51.png,Barcelona.jpg
./images/test\Barcelona_crop_52.png,Barcelona.jpg
./images/test\Barcelona_crop_53.png,Barcelona.jpg
./images/test\Barcelona_crop_54.png,Stockholm.jpg
./images/test\Barcelona_crop_55.png,Barcelona.jpg
./images/test\Barcelona_crop_56.png,Barcelona.jpg
./images/test\Barcelona_crop_58.png,Stockholm.jpg
./images/test\Barcelona_crop_59.png,Stockholm.jpg
./images/test\Barcelona_crop_60.png,Barcelona.jpg
./images/test\Barcelona_crop_61.png,Barcelona.jpg
./images/test\Barcelona_crop_62.png,Stockholm.jpg
./images/test\Barcelona_crop_63.png,Barcelona.jpg
./images/test\Barcelona_crop_65.png,Barcelona.jpg
./images/test\Barcelona_crop_66.png,Barcelona.jpg
./images/test\Barcelona_crop_67.png,Barcelona.jpg
./images/test\Barcelona_crop_68.png,Stockholm.jpg
./images/test\Barcelona_crop_7.png,Barcelona.jpg
./images/test\Barcelona_crop_72.png,Barcelona.jpg
./images/test\Barcelona_crop_73.png,Barcelona.jpg
./images/test\Barcelona_crop_74.png,Barcelona.jpg
./images/test\Barcelona_crop_76.png,Barcelona.jpg
./images/test\Barcelona_crop_77.png,Barcelona.jpg
./images/test\Barcelona_crop_79.png,Barcelona.jpg
./images/test\Barcelona_crop_8.png,Barcelona.jpg
./images/test\Barcelona_crop_80.png,Barcelona.jpg
./images/test\Barcelona_crop_82.png,Barcelona.jpg
./images/test\Barcelona_crop_85.png,Barcelona.jpg
./images/test\Barcelona_crop_86.png,Barcelona.jpg
./images/test\Barcelona_crop_87.png,Barcelona.jpg
./images/test\Barcelona_crop_88.png,Barcelona.jpg
./images/test\Barcelona_crop_89.png,Barcelona.jpg
./images/test\Barcelona_crop_9.png,Barcelona.jpg
./images/test\Barcelona_crop_91.png,Barcelona.jpg
./images/test\Barcelona_crop_92.png,Barcelona.jpg
./images/test\Barcelona_crop_94.png,Barcelona.jpg
./images/test\Barcelona_crop_97.png,Barcelona.jpg
./images/test\Barcelona_crop_99.png,Barcelona.jpg
./images/test\Berlin_crop_0.png,Barcelona.jpg
./images/test\Berlin_crop_1.png,Stockholm.jpg
./images/test\Berlin_crop_10.png,Barcelona.jpg
./images/test\Berlin_crop_11.png,Barcelona.jpg
./images/test\Berlin_crop_12.png,Barcelona.jpg
./images/test\Berlin_crop_13.png,Barcelona.jpg
./images/test\Berlin_crop_14.png,Barcelona.jpg
./images/test\Berlin_crop_15.png,Barcelona.jpg
./images/test\Berlin_crop_16.png,Barcelona.jpg
./images/test\Berlin_crop_17.png,Barcelona.jpg
./images/test\Berlin_crop_18.png,Barcelona.jpg
./images/test\Berlin_crop_19.png,Barcelona.jpg
./images/test\Berlin_crop_2.png,Barcelona.jpg
./images/test\Berlin_crop_20.png,Barcelona.jpg
./images/test\Berlin_crop_21.png,Barcelona.jpg
./images/test\Berlin_crop_23.png,Barcelona.jpg
./images/test\Berlin_crop_24.png,Barcelona.jpg
